features,label
"cookie_theft_attempt, reflected_payload",Cross-Site Scripting (XSS)
"ransom_note_created, registry_modification, process_injection",Ransomware
"high_login_attempts, failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"dom_manipulation, malicious_iframe_injection, html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"sql_injection_pattern, stacked_queries, time_delay_response",SQL Injection
"ping_sweep, idle_scan, version_detection",Reconnaissance
"shadow_copy_deletion, process_injection, lateral_movement, data_exfiltration_before_encryption",Ransomware
"event_handler_injection, javascript_uri_injection, malicious_iframe_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"service_enumeration, banner_grabbing, whois_lookup, version_detection, tcp_connect_scan",Reconnaissance
"banner_grabbing, network_mapping, tcp_connect_scan",Reconnaissance
"xss_payload_detected, javascript_uri_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"http_flood, bandwidth_saturation, dns_amplification",Distributed Denial of Service (DDoS)
"high_traffic_volume, service_degradation, http_flood, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"sql_injection_pattern, error_based_response, out_of_band_sqli, db_error_in_response, boolean_blind_sqli",SQL Injection
"mass_file_encryption, shadow_copy_deletion, file_rename_burst, backup_deletion, registry_modification",Ransomware
"fake_login_page, urgency_in_email, whaling_attempt",Phishing
"whois_lookup, idle_scan",Reconnaissance
"ransom_note_created, unusual_file_extension, data_exfiltration_before_encryption, bitcoin_address_in_note",Ransomware
"unusual_gateway_mac, packet_interception, session_hijacking, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"credential_stuffing, account_lockout_triggered, rapid_auth_requests",Brute Force Attack
"session_hijacking, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"banner_grabbing, version_detection, tcp_connect_scan",Reconnaissance
"cookie_theft_attempt, javascript_uri_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"syn_flood, icmp_flood, connection_exhaustion, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"http_flood, icmp_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"dom_manipulation, reflected_payload",Cross-Site Scripting (XSS)
"unusual_db_query, union_based_payload, stacked_queries, tautology_in_query",SQL Injection
"shadow_copy_deletion, file_rename_burst, process_injection",Ransomware
"sql_injection_pattern, db_error_in_response, tautology_in_query",SQL Injection
"sql_injection_pattern, error_based_response",SQL Injection
"password_spraying, failed_rdp_attempts",Brute Force Attack
"port_scanning, os_fingerprinting, ping_sweep",Reconnaissance
"script_tag_in_input, javascript_uri_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"high_traffic_volume, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"dom_manipulation, reflected_payload, javascript_uri_injection",Cross-Site Scripting (XSS)
"xss_payload_detected, reflected_payload, stored_xss_payload, malicious_iframe_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"http_flood, amplification_traffic, connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"fake_login_page, email_header_anomaly, lookalike_domain, malicious_attachment, brand_impersonation",Phishing
"error_based_response, stacked_queries, tautology_in_query, encoded_sql_payload",SQL Injection
"blind_sqli_timing, union_based_payload, out_of_band_sqli, encoded_sql_payload, boolean_blind_sqli",SQL Injection
"brute_force_login, dictionary_attack, failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"error_based_response, db_error_in_response, time_delay_response",SQL Injection
"slow_loris_attack, connection_exhaustion",Distributed Denial of Service (DDoS)
"syn_flood, udp_flood, amplification_traffic",Distributed Denial of Service (DDoS)
"xss_payload_detected, cookie_theft_attempt",Cross-Site Scripting (XSS)
"ssl_stripping, dns_spoofing, ssl_certificate_mismatch, bgp_hijacking",Man-in-the-Middle (MitM)
"unusual_db_query, error_based_response, db_error_in_response",SQL Injection
"credential_harvesting, urgency_in_email, vishing_indicators",Phishing
"certificate_anomaly, dns_spoofing, rogue_dhcp_server",Man-in-the-Middle (MitM)
"http_flood, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"whois_lookup, idle_scan, version_detection",Reconnaissance
"unusual_file_extension, c2_communication, backup_deletion, registry_modification, bitcoin_address_in_note",Ransomware
"certificate_anomaly, rogue_dhcp_server, packet_interception",Man-in-the-Middle (MitM)
"icmp_flood, slow_loris_attack, dns_amplification",Distributed Denial of Service (DDoS)
"reflected_payload, stored_xss_payload, malicious_iframe_injection",Cross-Site Scripting (XSS)
"script_tag_in_input, cookie_theft_attempt, event_handler_injection",Cross-Site Scripting (XSS)
"unusual_gateway_mac, packet_interception, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"dom_manipulation, reflected_payload, stored_xss_payload, javascript_uri_injection",Cross-Site Scripting (XSS)
"account_lockout_triggered, rapid_auth_requests, failed_ssh_attempts",Brute Force Attack
"xss_payload_detected, script_tag_in_input, reflected_payload, malicious_iframe_injection",Cross-Site Scripting (XSS)
"dns_spoofing, session_hijacking, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"c2_communication, file_rename_burst, backup_deletion, process_injection, data_exfiltration_before_encryption",Ransomware
"mass_file_encryption, backup_deletion, process_injection",Ransomware
"failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"multiple_failed_auth, dictionary_attack, rapid_auth_requests",Brute Force Attack
"port_scanning, service_enumeration, banner_grabbing",Reconnaissance
"dns_spoofing, packet_interception",Man-in-the-Middle (MitM)
"brute_force_login, multiple_failed_auth, rapid_auth_requests, auth_log_flooding",Brute Force Attack
"high_login_attempts, credential_stuffing, password_spraying",Brute Force Attack
"high_traffic_volume, service_degradation, icmp_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"domain_spoofing, malicious_attachment, brand_impersonation",Phishing
"ransom_note_created, unusual_file_extension, lateral_movement",Ransomware
"stacked_queries, db_error_in_response, time_delay_response",SQL Injection
"ssl_stripping, unusual_gateway_mac, evil_twin_ap",Man-in-the-Middle (MitM)
"shadow_copy_deletion, unusual_file_extension, c2_communication, backup_deletion, registry_modification",Ransomware
"icmp_flood, dns_amplification",Distributed Denial of Service (DDoS)
"script_tag_in_input, cookie_theft_attempt, html_entity_bypass",Cross-Site Scripting (XSS)
"credential_stuffing, account_lockout_triggered, rapid_auth_requests, auth_log_flooding",Brute Force Attack
"high_traffic_volume, slow_loris_attack, ntp_amplification",Distributed Denial of Service (DDoS)
"syn_flood, udp_flood, icmp_flood, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"ssl_stripping, certificate_anomaly, packet_interception",Man-in-the-Middle (MitM)
"brute_force_login, rapid_auth_requests, auth_log_flooding",Brute Force Attack
"suspicious_email_link, fake_login_page, urgency_in_email, whaling_attempt, vishing_indicators",Phishing
"unusual_db_query, blind_sqli_timing, stacked_queries, db_error_in_response, encoded_sql_payload",SQL Injection
"suspicious_email_link, email_header_anomaly, brand_impersonation, whaling_attempt",Phishing
"syn_flood, amplification_traffic, icmp_flood",Distributed Denial of Service (DDoS)
"failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"ssl_certificate_mismatch, evil_twin_ap",Man-in-the-Middle (MitM)
"file_rename_burst, backup_deletion",Ransomware
"ssl_stripping, rogue_dhcp_server, session_hijacking, bgp_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"service_enumeration, banner_grabbing, network_mapping",Reconnaissance
"whois_lookup, tcp_connect_scan",Reconnaissance
"brute_force_login, account_lockout_triggered, rapid_auth_requests, auth_log_flooding",Brute Force Attack
"high_login_attempts, password_spraying, account_lockout_triggered",Brute Force Attack
"unusual_file_extension, registry_modification, lateral_movement",Ransomware
"ping_sweep, version_detection",Reconnaissance
"high_traffic_volume, icmp_flood, bandwidth_saturation, ntp_amplification",Distributed Denial of Service (DDoS)
"blind_sqli_timing, db_error_in_response, tautology_in_query",SQL Injection
"syn_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"ping_sweep, idle_scan",Reconnaissance
"unusual_db_query, union_based_payload",SQL Injection
"udp_flood, icmp_flood",Distributed Denial of Service (DDoS)
"service_degradation, udp_flood, ntp_amplification",Distributed Denial of Service (DDoS)
"credential_harvesting, urgency_in_email",Phishing
"syn_flood, udp_flood",Distributed Denial of Service (DDoS)
"multiple_failed_auth, high_login_attempts, dictionary_attack, rapid_auth_requests",Brute Force Attack
"http_flood, amplification_traffic, dns_amplification",Distributed Denial of Service (DDoS)
"certificate_anomaly, session_hijacking, ssl_certificate_mismatch, bgp_hijacking",Man-in-the-Middle (MitM)
"http_flood, dns_amplification",Distributed Denial of Service (DDoS)
"service_degradation, amplification_traffic, icmp_flood",Distributed Denial of Service (DDoS)
"service_enumeration, whois_lookup",Reconnaissance
"ssl_stripping, packet_interception, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"service_degradation, http_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"whois_lookup, traceroute_activity, idle_scan",Reconnaissance
"suspicious_email_link, domain_spoofing, brand_impersonation",Phishing
"unusual_file_extension, c2_communication, registry_modification, process_injection",Ransomware
"credential_harvesting, fake_login_page, lookalike_domain, urgency_in_email, malicious_attachment",Phishing
"port_scanning, ping_sweep, dns_enumeration, whois_lookup, idle_scan",Reconnaissance
"c2_communication, lateral_movement, data_exfiltration_before_encryption, bitcoin_address_in_note",Ransomware
"xss_payload_detected, html_entity_bypass",Cross-Site Scripting (XSS)
"script_tag_in_input, javascript_uri_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"suspicious_email_link, malicious_attachment, spear_phishing_indicators",Phishing
"unusual_db_query, union_based_payload, stacked_queries, time_delay_response, boolean_blind_sqli",SQL Injection
"stored_xss_payload, javascript_uri_injection, malicious_iframe_injection, html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"dom_manipulation, stored_xss_payload, javascript_uri_injection, html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"high_traffic_volume, service_degradation, udp_flood, http_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"ransom_note_created, lateral_movement",Ransomware
"network_mapping, traceroute_activity, idle_scan, version_detection",Reconnaissance
"cookie_theft_attempt, stored_xss_payload, malicious_iframe_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"network_mapping, dns_enumeration, tcp_connect_scan",Reconnaissance
"mass_file_encryption, file_rename_burst, lateral_movement",Ransomware
"password_spraying, rapid_auth_requests, auth_log_flooding",Brute Force Attack
"xss_payload_detected, cookie_theft_attempt, csp_bypass_attempt",Cross-Site Scripting (XSS)
"unusual_file_extension, c2_communication, process_injection",Ransomware
"dns_spoofing, unusual_gateway_mac, rogue_dhcp_server, bgp_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"script_tag_in_input, javascript_uri_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"service_enumeration, ping_sweep, whois_lookup, traceroute_activity, tcp_connect_scan",Reconnaissance
"ransom_note_created, unusual_file_extension, registry_modification",Ransomware
"credential_harvesting, fake_login_page, whaling_attempt",Phishing
"port_scanning, ping_sweep, dns_enumeration, traceroute_activity, version_detection",Reconnaissance
"error_based_response, out_of_band_sqli, tautology_in_query, encoded_sql_payload",SQL Injection
"high_traffic_volume, amplification_traffic, icmp_flood",Distributed Denial of Service (DDoS)
"dns_spoofing, unusual_gateway_mac, rogue_dhcp_server, evil_twin_ap",Man-in-the-Middle (MitM)
"tautology_in_query, time_delay_response, boolean_blind_sqli",SQL Injection
"fake_login_page, email_header_anomaly, urgency_in_email, brand_impersonation",Phishing
"brute_force_login, high_login_attempts, rapid_auth_requests, failed_ssh_attempts",Brute Force Attack
"shadow_copy_deletion, file_rename_burst",Ransomware
"xss_payload_detected, stored_xss_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"high_traffic_volume, http_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"fake_login_page, lookalike_domain, spear_phishing_indicators, whaling_attempt",Phishing
"high_login_attempts, credential_stuffing, account_lockout_triggered, failed_ssh_attempts",Brute Force Attack
"spear_phishing_indicators, vishing_indicators",Phishing
"rogue_dhcp_server, ssl_certificate_mismatch, bgp_hijacking",Man-in-the-Middle (MitM)
"ssl_stripping, certificate_anomaly, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"udp_flood, http_flood, icmp_flood",Distributed Denial of Service (DDoS)
"high_login_attempts, dictionary_attack, failed_rdp_attempts",Brute Force Attack
"unusual_gateway_mac, rogue_dhcp_server, packet_interception, session_hijacking, bgp_hijacking",Man-in-the-Middle (MitM)
"arp_spoofing, packet_interception, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"domain_spoofing, urgency_in_email, spear_phishing_indicators",Phishing
"c2_communication, backup_deletion, bitcoin_address_in_note",Ransomware
"cookie_theft_attempt, malicious_iframe_injection",Cross-Site Scripting (XSS)
"sql_injection_pattern, union_based_payload, db_error_in_response",SQL Injection
"sql_injection_pattern, error_based_response, db_error_in_response",SQL Injection
"mass_file_encryption, shadow_copy_deletion, lateral_movement",Ransomware
"ssl_stripping, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"sql_injection_pattern, error_based_response, encoded_sql_payload",SQL Injection
"dns_spoofing, session_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"xss_payload_detected, cookie_theft_attempt, malicious_iframe_injection",Cross-Site Scripting (XSS)
"ssl_stripping, dns_spoofing, evil_twin_ap",Man-in-the-Middle (MitM)
"sql_injection_pattern, encoded_sql_payload",SQL Injection
"sql_injection_pattern, union_based_payload, encoded_sql_payload",SQL Injection
"syn_flood, udp_flood, icmp_flood",Distributed Denial of Service (DDoS)
"ransom_note_created, unusual_file_extension, file_rename_burst, backup_deletion",Ransomware
"os_fingerprinting, service_enumeration, ping_sweep",Reconnaissance
"service_degradation, http_flood, icmp_flood",Distributed Denial of Service (DDoS)
"xss_payload_detected, dom_manipulation, event_handler_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"high_traffic_volume, http_flood, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"multiple_failed_auth, high_login_attempts, dictionary_attack, auth_log_flooding",Brute Force Attack
"high_login_attempts, password_spraying",Brute Force Attack
"ransom_note_created, backup_deletion",Ransomware
"ssl_stripping, certificate_anomaly, ssl_certificate_mismatch, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"sql_injection_pattern, error_based_response, blind_sqli_timing, tautology_in_query, time_delay_response",SQL Injection
"ransom_note_created, file_rename_burst, data_exfiltration_before_encryption",Ransomware
"multiple_failed_auth, credential_stuffing, rapid_auth_requests",Brute Force Attack
"blind_sqli_timing, union_based_payload, stacked_queries, time_delay_response",SQL Injection
"port_scanning, banner_grabbing, network_mapping, ping_sweep",Reconnaissance
"banner_grabbing, network_mapping, ping_sweep, version_detection",Reconnaissance
"email_header_anomaly, vishing_indicators",Phishing
"sql_injection_pattern, error_based_response, blind_sqli_timing",SQL Injection
"domain_spoofing, lookalike_domain, urgency_in_email",Phishing
"port_scanning, os_fingerprinting, version_detection, tcp_connect_scan",Reconnaissance
"high_traffic_volume, bandwidth_saturation",Distributed Denial of Service (DDoS)
"unusual_file_extension, registry_modification, data_exfiltration_before_encryption",Ransomware
"xss_payload_detected, dom_manipulation, cookie_theft_attempt, stored_xss_payload, event_handler_injection",Cross-Site Scripting (XSS)
"credential_harvesting, email_header_anomaly, lookalike_domain, spear_phishing_indicators, vishing_indicators",Phishing
"high_login_attempts, credential_stuffing, failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"dom_manipulation, reflected_payload, csp_bypass_attempt",Cross-Site Scripting (XSS)
"banner_grabbing, whois_lookup, traceroute_activity",Reconnaissance
"xss_payload_detected, stored_xss_payload, csp_bypass_attempt",Cross-Site Scripting (XSS)
"mass_file_encryption, c2_communication, backup_deletion, data_exfiltration_before_encryption",Ransomware
"out_of_band_sqli, tautology_in_query, boolean_blind_sqli",SQL Injection
"brute_force_login, multiple_failed_auth, auth_log_flooding",Brute Force Attack
"slow_loris_attack, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"packet_interception, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"xss_payload_detected, script_tag_in_input, dom_manipulation, event_handler_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"port_scanning, service_enumeration, tcp_connect_scan",Reconnaissance
"udp_flood, http_flood, slow_loris_attack, dns_amplification",Distributed Denial of Service (DDoS)
"sql_injection_pattern, unusual_db_query, out_of_band_sqli",SQL Injection
"union_based_payload, stacked_queries, boolean_blind_sqli",SQL Injection
"unusual_db_query, blind_sqli_timing, encoded_sql_payload",SQL Injection
"credential_stuffing, account_lockout_triggered, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"high_traffic_volume, bandwidth_saturation, dns_amplification",Distributed Denial of Service (DDoS)
"dns_enumeration, whois_lookup, traceroute_activity",Reconnaissance
"unusual_file_extension, file_rename_burst, lateral_movement",Ransomware
"script_tag_in_input, cookie_theft_attempt, malicious_iframe_injection",Cross-Site Scripting (XSS)
"port_scanning, ping_sweep, traceroute_activity, version_detection",Reconnaissance
"html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"c2_communication, file_rename_burst, backup_deletion",Ransomware
"domain_spoofing, malicious_attachment, whaling_attempt, vishing_indicators",Phishing
"credential_stuffing, rapid_auth_requests",Brute Force Attack
"brute_force_login, dictionary_attack, rapid_auth_requests",Brute Force Attack
"rapid_auth_requests, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"ssl_stripping, packet_interception, ip_spoofing",Man-in-the-Middle (MitM)
"c2_communication, file_rename_burst",Ransomware
"blind_sqli_timing, stacked_queries, db_error_in_response",SQL Injection
"high_traffic_volume, http_flood, dns_amplification",Distributed Denial of Service (DDoS)
"suspicious_email_link, fake_login_page, brand_impersonation",Phishing
"ransom_note_created, shadow_copy_deletion, unusual_file_extension, backup_deletion, process_injection",Ransomware
"c2_communication, backup_deletion, registry_modification, lateral_movement",Ransomware
"multiple_failed_auth, high_login_attempts, password_spraying, account_lockout_triggered",Brute Force Attack
"packet_interception, session_hijacking, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"arp_spoofing, unusual_gateway_mac, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"email_header_anomaly, lookalike_domain, brand_impersonation",Phishing
"sql_injection_pattern, tautology_in_query, encoded_sql_payload",SQL Injection
"os_fingerprinting, network_mapping, dns_enumeration, whois_lookup",Reconnaissance
"ransom_note_created, c2_communication, registry_modification",Ransomware
"mass_file_encryption, ransom_note_created, shadow_copy_deletion, registry_modification, lateral_movement",Ransomware
"http_flood, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"email_header_anomaly, brand_impersonation, spear_phishing_indicators",Phishing
"whois_lookup, traceroute_activity, tcp_connect_scan",Reconnaissance
"syn_flood, icmp_flood, ntp_amplification",Distributed Denial of Service (DDoS)
"xss_payload_detected, reflected_payload, event_handler_injection",Cross-Site Scripting (XSS)
"dom_manipulation, stored_xss_payload, javascript_uri_injection",Cross-Site Scripting (XSS)
"unusual_file_extension, file_rename_burst, process_injection",Ransomware
"os_fingerprinting, idle_scan",Reconnaissance
"brute_force_login, multiple_failed_auth, account_lockout_triggered, failed_rdp_attempts",Brute Force Attack
"brute_force_login, high_login_attempts, account_lockout_triggered, failed_rdp_attempts",Brute Force Attack
"script_tag_in_input, reflected_payload, javascript_uri_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"fake_login_page, malicious_attachment, spear_phishing_indicators",Phishing
"high_traffic_volume, udp_flood",Distributed Denial of Service (DDoS)
"suspicious_email_link, credential_harvesting, brand_impersonation, spear_phishing_indicators",Phishing
"dns_spoofing, unusual_gateway_mac, bgp_hijacking",Man-in-the-Middle (MitM)
"arp_spoofing, packet_interception, evil_twin_ap",Man-in-the-Middle (MitM)
"script_tag_in_input, dom_manipulation, stored_xss_payload",Cross-Site Scripting (XSS)
"http_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"high_traffic_volume, http_flood, amplification_traffic, icmp_flood",Distributed Denial of Service (DDoS)
"stacked_queries, boolean_blind_sqli",SQL Injection
"unusual_db_query, out_of_band_sqli, encoded_sql_payload, time_delay_response",SQL Injection
"arp_spoofing, packet_interception, session_hijacking, ssl_certificate_mismatch, evil_twin_ap",Man-in-the-Middle (MitM)
"xss_payload_detected, stored_xss_payload, event_handler_injection",Cross-Site Scripting (XSS)
"port_scanning, banner_grabbing, whois_lookup",Reconnaissance
"credential_stuffing, dictionary_attack, account_lockout_triggered, failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"mass_file_encryption, c2_communication, process_injection",Ransomware
"file_rename_burst, process_injection, data_exfiltration_before_encryption",Ransomware
"ransom_note_created, c2_communication, backup_deletion, registry_modification, bitcoin_address_in_note",Ransomware
"stacked_queries, db_error_in_response, boolean_blind_sqli",SQL Injection
"xss_payload_detected, cookie_theft_attempt, javascript_uri_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"stacked_queries, out_of_band_sqli, boolean_blind_sqli",SQL Injection
"banner_grabbing, dns_enumeration, tcp_connect_scan",Reconnaissance
"cookie_theft_attempt, stored_xss_payload",Cross-Site Scripting (XSS)
"account_lockout_triggered, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"whois_lookup, traceroute_activity, idle_scan, version_detection, tcp_connect_scan",Reconnaissance
"dom_manipulation, malicious_iframe_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"port_scanning, os_fingerprinting, banner_grabbing, version_detection",Reconnaissance
"dns_enumeration, traceroute_activity",Reconnaissance
"rogue_dhcp_server, session_hijacking, ssl_certificate_mismatch, bgp_hijacking",Man-in-the-Middle (MitM)
"script_tag_in_input, cookie_theft_attempt, stored_xss_payload",Cross-Site Scripting (XSS)
"credential_harvesting, malicious_attachment, whaling_attempt",Phishing
"registry_modification, lateral_movement",Ransomware
"port_scanning, os_fingerprinting",Reconnaissance
"high_traffic_volume, icmp_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"high_traffic_volume, amplification_traffic, slow_loris_attack, bandwidth_saturation, ntp_amplification",Distributed Denial of Service (DDoS)
"shadow_copy_deletion, file_rename_burst, backup_deletion",Ransomware
"os_fingerprinting, dns_enumeration, version_detection, tcp_connect_scan",Reconnaissance
"unusual_db_query, blind_sqli_timing, db_error_in_response",SQL Injection
"db_error_in_response, encoded_sql_payload, boolean_blind_sqli",SQL Injection
"email_header_anomaly, lookalike_domain, brand_impersonation, whaling_attempt",Phishing
"c2_communication, backup_deletion, process_injection",Ransomware
"malicious_attachment, spear_phishing_indicators, whaling_attempt",Phishing
"syn_flood, http_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"ssl_stripping, unusual_gateway_mac, session_hijacking",Man-in-the-Middle (MitM)
"sql_injection_pattern, unusual_db_query, db_error_in_response, encoded_sql_payload",SQL Injection
"fake_login_page, urgency_in_email, brand_impersonation",Phishing
"port_scanning, banner_grabbing, network_mapping",Reconnaissance
"dns_spoofing, rogue_dhcp_server, bgp_hijacking",Man-in-the-Middle (MitM)
"high_login_attempts, credential_stuffing, rapid_auth_requests, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"stacked_queries, db_error_in_response, time_delay_response, boolean_blind_sqli",SQL Injection
"os_fingerprinting, service_enumeration, version_detection",Reconnaissance
"arp_spoofing, unusual_gateway_mac",Man-in-the-Middle (MitM)
"high_traffic_volume, connection_exhaustion",Distributed Denial of Service (DDoS)
"error_based_response, stacked_queries, time_delay_response",SQL Injection
"ssl_stripping, dns_spoofing, rogue_dhcp_server",Man-in-the-Middle (MitM)
"os_fingerprinting, ping_sweep, whois_lookup, tcp_connect_scan",Reconnaissance
"network_mapping, ping_sweep, whois_lookup, traceroute_activity, idle_scan",Reconnaissance
"xss_payload_detected, cookie_theft_attempt, stored_xss_payload, event_handler_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"xss_payload_detected, cookie_theft_attempt, reflected_payload, javascript_uri_injection",Cross-Site Scripting (XSS)
"dictionary_attack, account_lockout_triggered",Brute Force Attack
"multiple_failed_auth, credential_stuffing, password_spraying",Brute Force Attack
"ransom_note_created, unusual_file_extension, c2_communication",Ransomware
"ssl_stripping, certificate_anomaly, unusual_gateway_mac, session_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"arp_spoofing, certificate_anomaly, session_hijacking",Man-in-the-Middle (MitM)
"xss_payload_detected, cookie_theft_attempt, stored_xss_payload",Cross-Site Scripting (XSS)
"dns_enumeration, version_detection, tcp_connect_scan",Reconnaissance
"multiple_failed_auth, high_login_attempts, account_lockout_triggered",Brute Force Attack
"unusual_gateway_mac, session_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"brute_force_login, multiple_failed_auth, high_login_attempts, credential_stuffing, password_spraying",Brute Force Attack
"syn_flood, udp_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"syn_flood, amplification_traffic, ntp_amplification",Distributed Denial of Service (DDoS)
"arp_spoofing, certificate_anomaly, dns_spoofing, rogue_dhcp_server, packet_interception",Man-in-the-Middle (MitM)
"c2_communication, file_rename_burst, backup_deletion, process_injection",Ransomware
"port_scanning, idle_scan, version_detection",Reconnaissance
"arp_spoofing, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"suspicious_email_link, vishing_indicators",Phishing
"whois_lookup, version_detection, tcp_connect_scan",Reconnaissance
"cookie_theft_attempt, html_entity_bypass",Cross-Site Scripting (XSS)
"suspicious_email_link, malicious_attachment, whaling_attempt",Phishing
"arp_spoofing, session_hijacking, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"high_traffic_volume, ntp_amplification",Distributed Denial of Service (DDoS)
"mass_file_encryption, c2_communication, lateral_movement",Ransomware
"xss_payload_detected, dom_manipulation, stored_xss_payload",Cross-Site Scripting (XSS)
"arp_spoofing, ssl_stripping, packet_interception",Man-in-the-Middle (MitM)
"port_scanning, service_enumeration, banner_grabbing, dns_enumeration",Reconnaissance
"dns_spoofing, unusual_gateway_mac, packet_interception, session_hijacking, bgp_hijacking",Man-in-the-Middle (MitM)
"reflected_payload, event_handler_injection, malicious_iframe_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"ssl_stripping, packet_interception, ssl_certificate_mismatch, bgp_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"password_spraying, dictionary_attack, auth_log_flooding",Brute Force Attack
"mass_file_encryption, ransom_note_created, bitcoin_address_in_note",Ransomware
"credential_harvesting, fake_login_page, malicious_attachment, spear_phishing_indicators, whaling_attempt",Phishing
"ransom_note_created, unusual_file_extension",Ransomware
"icmp_flood, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"http_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"urgency_in_email, malicious_attachment, whaling_attempt",Phishing
"email_header_anomaly, lookalike_domain, vishing_indicators",Phishing
"dns_enumeration, whois_lookup, tcp_connect_scan",Reconnaissance
"multiple_failed_auth, high_login_attempts, credential_stuffing, auth_log_flooding",Brute Force Attack
"sql_injection_pattern, unusual_db_query, out_of_band_sqli, encoded_sql_payload",SQL Injection
"service_enumeration, network_mapping, whois_lookup, tcp_connect_scan",Reconnaissance
"lookalike_domain, urgency_in_email",Phishing
"service_enumeration, banner_grabbing, dns_enumeration, tcp_connect_scan",Reconnaissance
"ransom_note_created, registry_modification, process_injection, data_exfiltration_before_encryption",Ransomware
"xss_payload_detected, script_tag_in_input, stored_xss_payload, javascript_uri_injection",Cross-Site Scripting (XSS)
"version_detection, tcp_connect_scan",Reconnaissance
"backup_deletion, process_injection, bitcoin_address_in_note",Ransomware
"error_based_response, stacked_queries, encoded_sql_payload",SQL Injection
